mode,topic,candidates,ballots,p50,p90,p95,p99,p999,perfect_four
random,One-Hit Wonders,100,10000,24.49,33.85,36.06,39.76,40,One-Hit Wonders Candidate 001 | One-Hit Wonders Candidate 002 | One-Hit Wonders Candidate 003 | One-Hit Wonders Candidate 004
random,Songs Everyone Knows,100,10000,24.56,33.89,36.18,39.0,40,Songs Everyone Knows Candidate 001 | Songs Everyone Knows Candidate 002 | Songs Everyone Knows Candidate 003 | Songs Everyone Knows Candidate 004
random,Karaoke Songs,100,10000,24.34,33.86,36.03,40,40,Karaoke Songs Candidate 001 | Karaoke Songs Candidate 002 | Karaoke Songs Candidate 003 | Karaoke Songs Candidate 004
random,Albums,100,10000,24.51,33.87,36.0,39.16,40,Albums Candidate 001 | Albums Candidate 002 | Albums Candidate 003 | Albums Candidate 004
random,Music Videos,100,10000,24.18,33.81,35.97,40,40,Music Videos Candidate 001 | Music Videos Candidate 002 | Music Videos Candidate 003 | Music Videos Candidate 004
random,Places to Get Drunk That Aren't a Bar,100,10000,24.89,34.43,36.56,40,40,Places to Get Drunk That Aren't a Bar Candidate 001 | Places to Get Drunk That Aren't a Bar Candidate 002 | Places to Get Drunk That Aren't a Bar Candidate 003 | Places to Get Drunk That Aren't a Bar Candidate 004
random,Things Dads Say,100,10000,24.65,34.19,36.17,39.0,40,Things Dads Say Candidate 001 | Things Dads Say Candidate 002 | Things Dads Say Candidate 003 | Things Dads Say Candidate 004
random,Best Smells,100,10000,24.88,34.12,36.22,39.76,40,Best Smells Candidate 001 | Best Smells Candidate 002 | Best Smells Candidate 003 | Best Smells Candidate 004
random,Things That Make You Feel Rich,100,10000,24.39,34.03,35.75,38.51,40,Things That Make You Feel Rich Candidate 001 | Things That Make You Feel Rich Candidate 002 | Things That Make You Feel Rich Candidate 003 | Things That Make You Feel Rich Candidate 004
random,Worst Places to Get Stuck,100,10000,24.49,33.64,36.05,39.39,40,Worst Places to Get Stuck Candidate 001 | Worst Places to Get Stuck Candidate 002 | Worst Places to Get Stuck Candidate 003 | Worst Places to Get Stuck Candidate 004
random,Things to Bring to a Desert Island,100,10000,24.66,34.47,36.52,39.99,40,Things to Bring to a Desert Island Candidate 001 | Things to Bring to a Desert Island Candidate 002 | Things to Bring to a Desert Island Candidate 003 | Things to Bring to a Desert Island Candidate 005
random,Animals You'd Want on Your Side in a Fight,100,10000,24.33,33.92,36.05,40,40,Animals You'd Want on Your Side in a Fight Candidate 001 | Animals You'd Want on Your Side in a Fight Candidate 002 | Animals You'd Want on Your Side in a Fight Candidate 003 | Animals You'd Want on Your Side in a Fight Candidate 004
random,Things Better When You're Drunk,100,10000,24.25,33.57,35.46,38.39,40.0,Things Better When You're Drunk Candidate 001 | Things Better When You're Drunk Candidate 002 | Things Better When You're Drunk Candidate 003 | Things Better When You're Drunk Candidate 004
random,Things You'd Buy If You Won the Lottery,100,10000,24.34,33.96,36.12,40,40,Things You'd Buy If You Won the Lottery Candidate 001 | Things You'd Buy If You Won the Lottery Candidate 002 | Things You'd Buy If You Won the Lottery Candidate 003 | Things You'd Buy If You Won the Lottery Candidate 004
random,Best Excuses for Being Late,100,10000,24.72,34.21,36.63,40,40,Best Excuses for Being Late Candidate 001 | Best Excuses for Being Late Candidate 002 | Best Excuses for Being Late Candidate 003 | Best Excuses for Being Late Candidate 004
random,Things You Don't Want to Hear on a First Date,100,10000,24.01,33.05,35.51,38.14,40,Things You Don't Want to Hear on a First Date Candidate 001 | Things You Don't Want to Hear on a First Date Candidate 002 | Things You Don't Want to Hear on a First Date Candidate 003 | Things You Don't Want to Hear on a First Date Candidate 004
random,Things You'd Hate to Step On Barefoot,100,10000,24.68,34.17,36.26,39.21,40,Things You'd Hate to Step On Barefoot Candidate 001 | Things You'd Hate to Step On Barefoot Candidate 002 | Things You'd Hate to Step On Barefoot Candidate 004 | Things You'd Hate to Step On Barefoot Candidate 003
random,Things That Immediately Ruin Your Day,100,10000,24.36,34.08,36.25,40,40,Things That Immediately Ruin Your Day Candidate 001 | Things That Immediately Ruin Your Day Candidate 002 | Things That Immediately Ruin Your Day Candidate 003 | Things That Immediately Ruin Your Day Candidate 004
random,Things That Make a Great Tailgate,100,10000,24.18,33.4,35.57,40,40,Things That Make a Great Tailgate Candidate 002 | Things That Make a Great Tailgate Candidate 001 | Things That Make a Great Tailgate Candidate 003 | Things That Make a Great Tailgate Candidate 004
random,Things You Pretend to Understand,100,10000,24.38,33.79,36.21,40,40,Things You Pretend to Understand Candidate 001 | Things You Pretend to Understand Candidate 002 | Things You Pretend to Understand Candidate 003 | Things You Pretend to Understand Candidate 004
random,Things You Lose Constantly,100,10000,24.32,33.67,35.83,38.53,40,Things You Lose Constantly Candidate 001 | Things You Lose Constantly Candidate 002 | Things You Lose Constantly Candidate 003 | Things You Lose Constantly Candidate 004
random,Things That Should Be Illegal but Aren't,100,10000,24.64,34.28,36.38,39.74,40,Things That Should Be Illegal but Aren't Candidate 001 | Things That Should Be Illegal but Aren't Candidate 002 | Things That Should Be Illegal but Aren't Candidate 003 | Things That Should Be Illegal but Aren't Candidate 004
random,Things You Do When Nobody Is Watching,100,10000,24.12,33.7,35.63,40,40,Things You Do When Nobody Is Watching Candidate 001 | Things You Do When Nobody Is Watching Candidate 002 | Things You Do When Nobody Is Watching Candidate 003 | Things You Do When Nobody Is Watching Candidate 004
random,Worst Things to Forget at Home,100,10000,24.37,33.62,35.58,39.29,40,Worst Things to Forget at Home Candidate 001 | Worst Things to Forget at Home Candidate 002 | Worst Things to Forget at Home Candidate 003 | Worst Things to Forget at Home Candidate 004
random,Things That Feel Like a Scam,100,10000,24.36,33.81,35.92,38.53,40,Things That Feel Like a Scam Candidate 001 | Things That Feel Like a Scam Candidate 002 | Things That Feel Like a Scam Candidate 003 | Things That Feel Like a Scam Candidate 004
random,Things That Make You Feel Old,100,10000,24.13,33.59,35.94,38.32,40,Things That Make You Feel Old Candidate 001 | Things That Make You Feel Old Candidate 002 | Things That Make You Feel Old Candidate 003 | Things That Make You Feel Old Candidate 004
random,Things You'd Never Want as a Roommate,100,10000,24.28,33.89,36.04,39.13,40,Things You'd Never Want as a Roommate Candidate 001 | Things You'd Never Want as a Roommate Candidate 002 | Things You'd Never Want as a Roommate Candidate 003 | Things You'd Never Want as a Roommate Candidate 004
random,Best Sounds,100,10000,24.13,33.39,35.3,37.69,40,Best Sounds Candidate 001 | Best Sounds Candidate 002 | Best Sounds Candidate 004 | Best Sounds Candidate 003
random,Worst Sounds,100,10000,24.96,34.52,36.46,39.99,40,Worst Sounds Candidate 001 | Worst Sounds Candidate 002 | Worst Sounds Candidate 003 | Worst Sounds Candidate 005
random,Vacation Destinations,100,10000,24.27,33.41,35.71,38.8,40.0,Vacation Destinations Candidate 001 | Vacation Destinations Candidate 002 | Vacation Destinations Candidate 003 | Vacation Destinations Candidate 004
random,American Cities to Visit,100,10000,24.64,34.17,36.38,38.77,40.0,American Cities to Visit Candidate 001 | American Cities to Visit Candidate 002 | American Cities to Visit Candidate 003 | American Cities to Visit Candidate 004
random,Theme Park Rides,100,10000,24.26,34.16,36.02,40,40,Theme Park Rides Candidate 001 | Theme Park Rides Candidate 002 | Theme Park Rides Candidate 004 | Theme Park Rides Candidate 003
random,Jobs You Wanted as a Kid,100,10000,24.31,33.92,36.2,40.0,40.0,Jobs You Wanted as a Kid Candidate 001 | Jobs You Wanted as a Kid Candidate 002 | Jobs You Wanted as a Kid Candidate 003 | Jobs You Wanted as a Kid Candidate 004
random,Things to Do on a Rainy Day,100,10000,24.94,34.51,37.2,39.9,40,Things to Do on a Rainy Day Candidate 001 | Things to Do on a Rainy Day Candidate 002 | Things to Do on a Rainy Day Candidate 003 | Things to Do on a Rainy Day Candidate 005
random,Things That Make a Good Friend,100,10000,24.56,33.84,35.96,39.45,40,Things That Make a Good Friend Candidate 002 | Things That Make a Good Friend Candidate 001 | Things That Make a Good Friend Candidate 003 | Things That Make a Good Friend Candidate 004
random,Best Holidays,100,10000,24.89,34.21,36.31,39.67,40,Best Holidays Candidate 001 | Best Holidays Candidate 002 | Best Holidays Candidate 003 | Best Holidays Candidate 005
random,Things to Have at a Party,100,10000,24.84,33.87,36.31,39.62,40,Things to Have at a Party Candidate 001 | Things to Have at a Party Candidate 002 | Things to Have at a Party Candidate 003 | Things to Have at a Party Candidate 004
random,Things That Belong in a Man Cave,100,10000,24.26,33.44,35.42,39.04,40,Things That Belong in a Man Cave Candidate 001 | Things That Belong in a Man Cave Candidate 002 | Things That Belong in a Man Cave Candidate 003 | Things That Belong in a Man Cave Candidate 004
